text,topic
"I have 2 different date columns in my table. Is there a way I can change Time Column when creating chart?\nIn below screenshot instead of process_date, can I use other date column?",1.0
Getting this error when going to database list view page (/databaseview/list/) . It was working fine previously. Didn't change anything as such. It just suddenly came and because of that I can't even write queries in sqllab . Unable to create or edit new dashboards now. Can anybody please help me with this?,1.0
"Hi folks, we are looking forward to having some alerting metrics in our graphs if we see a 10-20% drop/change in metrics. Do we have a timeline of whether this is getting picked up in any upcoming versions?\nI see a similar ask raised quite back <https://github.com/apache/incubator-superset/issues/6615>",1.0
using existing code to find out how libraries/modules work is one great way I personally found really good to learn,1.0
,1.0
,2.0
,1.0
with no extra args,1.0
and you're installing directly from the cloned repo?,1.0
I am still getting the errors I posted. ,1.0
I assumed there was a configuration map w defaults for config py file. Which is what I wanted to clarify. And an explanation on how to set up configMap and config py if needed. ,1.0
,2.0
,1.0
,1.0
,1.0
Json data,2.0
"After I stood up my test, I checked the logs on all pods, and saw no errors",2.0
"Hi all, i am trying to integrate oauth2 authentication with superSet and ouath2 server is hosted by our org.\ni added the below code in superset_config and after starting the service the app is getting redirected to login page but client_id parameter in the URL is coming as None.\nCan somebody please let me know if I am missing something\n\nAUTH_TYPE = AUTH_OAUTH\nOAUTH_PROVIDERS = [\n    {   \u2018name\u2019:\u2018test\u2019,\n        \u2018token_key\u2019:\u2018access_token\u2019, # Name of the token in the response of access_token_url\n        \u2018icon\u2019:\u2018fa-address-card\u2019,   # Icon for the provider\n        \u2018remote_app\u2019: {\n            \u2018consumer_key\u2019:\u2018MyClientId\u2019,  # Client Id (Identify Superset application)\n            \u2018consumer_secret\u2019:\u2018MySecret\u2019, # Secret for this Client Id (Identify Superset application)\n            \u2018request_token_params\u2019:{\n                \u2018scope\u2019: \u2018email\u2019               # Scope for the Authorization\n            },\n            \u2018access_token_method\u2019:\u2018POST\u2019,    # HTTP Method to call access_token_url\n            \u2018access_token_params\u2019:{        # Additional parameters for calls to access_token_url\n                \u2018client_id\u2019:\u2018MyClientId\u2019\n            },\n            \u2018access_token_headers\u2019:{    # Additional headers for calls to access_token_url\n                \u2018Authorization\u2019: \u2018Basic clientId:clientSecret\u2019\n            },\n            \u2018base_url\u2019:\u2018baseUrl\u2019,\n            \u2018access_token_url\u2019:\u2018baseurl/authorize/oauth2/token\u2019,\n            \u2018authorize_url\u2019:\u2018baseUrl/authorize/oauth2/authorize\u2019\n        }\n    }\n]",2.0
,1.0
,1.0
,2.0
,1.0
,0.0
"<!here> Quick REMINDER that our community virtual meetup is *this Thursday*, August 27, 9AM US Pacific Time, diving deep into the 0.37 new release + an open Q&amp;A. Register via the Zoom link :point_up_2: and add the community calendar with yours while you at it! :superset-loading: :rocket:",1.0
,1.0
,2.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
could you post the config overrides you're using to deploy the thing?,1.0
,1.0
,1.0
,1.0
,2.0
,2.0
,2.0
,1.0
"Hi, I\u2019m Henry. I\u2019ve been lurking around the Superset slack for a while now and just wanted a chance to introduce myself. I\u2019m part of the DevOps team over at <http://preset.io|Preset> working on making Superset available as a service. I look forward to interacting with the community.",1.0
,1.0
,1.0
"they were using pip installation of superset, in that version",1.0
"Hii team, I am using this cool software for my data visualisation. So for that I am using docker-compose up cmd to get my instance up and for that I am using Linux box.. So for that error is\npassword authentication failed for the user ""ctxvda"".\nRole ""ctxvda"" doesn't exist. \nAnd my default role name is admin and password is admin",2.0
,1.0
Hello everyone. Has anyone tried migrating from tableau and moved .twbx workbooks over?\nOr is it a case of rebuilding those views in Superset?,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
<@U013XUVADFV> has joined the channel,1.0
,2.0
,2.0
,1.0
,2.0
<@UD2AENPQC> has joined the channel,2.0
,1.0
,2.0
"I knew the above one,  but this is not added to any helm repository right?\nThe above mentioned one is running fine for me! I have deployed superset to production as well with stable/superset chart\nI deploy using concourse, so I would need to fetch it from helm repository!",1.0
"Hey everyone, I\u2019m a BI analyst working on becoming a data engineer and look forward to trying out superset! I\u2019m still new to BI systems, and our team currently uses Redash. Something like superset seems much more powerful and friendly for non-developers to explore the data we curate.",1.0
,1.0
"Hi everyone, I am trying to configure Superset with multiple ldap servers, but at this moment, I was able to setup for only one server. Any solution to configure multiple servers at a same time would be helpful.",1.0
"Hi all! :wave:\nI\u2019m Kasia (I know - Katarzyna might be difficult to read :slightly_smiling_face: ). I work for Polidea as backend developer (Python, Java, Node) but I have some frontend and data processing experience. I joined because I would like to contribute to the project :superset:",1.0
,1.0
<@U014C43R77C> has joined the channel,1.0
We don't currently support that chart :disappointed:,1.0
<@U014E5PDQUX> has joined the channel,2.0
<@U01F71EJK0C> has joined the channel,1.0
<@U01EFT2NKJ6> has joined the channel,1.0
<@U01B047535Z> has joined the channel,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,2.0
<@U01F1SFUESF> has joined the channel,1.0
,1.0
,1.0
,1.0
,2.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
"Hello everyone, am Bob. Am a data Analyst incorporating superset into my workflow.:slightly_smiling_face:",1.0
This message was deleted.,1.0
,1.0
Hello everyone!\nI am an analyst from hyperskill (JetBrains Academy). We are using superset for interactive or static dashboards. :heart:,1.0
Hello Everyone.  My company (and I) are just starting out with Superset.  I am looking forward to learning from you as well as hopefully contributing myself whereever I can.,1.0
"Hi. I'm trying to upgrade superset from 0.36 to 0.37. After upgrade, google auth stopped working and gives error on picture although I configured scope shown as below.\n```OAUTH_PROVIDERS = [\n {\n   'name': 'google',\n   'icon': 'fa-google',\n   'token_key': 'access_token',\n   'remote_app': {\n     'base_url': '<https://www.googleapis.com/oauth2/v2/>',\n     'request_token_params': {\n     'scope': 'email profile'\n     },\n     'request_token_url': None,\n     'access_token_url':    '<https://accounts.google.com/o/oauth2/token>',\n     'authorize_url': '<https://accounts.google.com/o/oauth2/auth>',\n     'consumer_key': '<http://xxxx.apps.googleusercontent.com|xxxx.apps.googleusercontent.com>',\n     'consumer_secret': 'xxxx'\n    }\n  }\n]```\nDoes anyone else encountered this problem?",1.0
"Anyone here using the *fab-oidc* module for authentication? I'm trying to work out how to authenticate without using a cookie. Maybe a JWT. I know how to get a JWT from the authentication server. Best case schenario for me would be to use a bearer token in the Authentication header of a request. I want to access the API on Superset, not the UI. Eg. /users/api/read",1.0
"I am thinking about setting up different environment for superset, dev QA and production. Is there a direct way I would be able to migrate dashboards from dev to QA and then from QA to Production? manual or automated option?",1.0
,1.0
"Hey all,\nquick question.  i just pulled master and i noticed that when doing `docker build .` the JS assets are coming up as a 404.\n\nDoesnt happen in dev mode locally. so.... wasnt sure if people were having the same problem as i am",1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
*CSV name on download*\nCurrently when the csv is downloaded it is named in `YYYYMMDD_{unknown}.csv` format. Is it possible for the file to be named same as the slice name?,1.0
"Hi <!here>, when working on a PR that includes a migration over time the migration you created is conflicting with another migration that also uses the same down revision when merging master back into my branch\nHow should I fix it? should I manually change the down revision the latest revision?\nIs there some alembic command I can run? a merge? what is the command exactly?\nwhen I try using alembic CLI is it missing some context/parameters..",1.0
"Hi everyone! I\u2019m planning to deploy a superset instance for my company <https://mumuki.io/home/en>. We\u2019ll deploy in digital ocean and i would be glad to talk with anyone who has already deploy superset in digital ocean, in order to understand which vm is the most efficient. Please DM me :D",1.0
"Hi <!here>, here's a draft list of topics for the August newsletter. Please provide your edits/comments/suggestions in the document. <https://docs.google.com/document/d/1d1PGs81VtmLl3GXHXw59em9Z-gYhWwYaN8e5xMaJiRw/edit>",1.0
Have any one has a use case where you export a dashboard from a superset instance and then import to another instance the dashboard got all slices and tables messed up?    Is there any good workaround / solution to it?,1.0
,1.0
,1.0
,1.0
Thanks <@U015TJWE9PU> will take a look!,1.0
<!here> we are struggling with understanding how the `python` unit/integration ecosystem works in order to `run/debug` existing tests and also develop new features\nwho can help out here to do some introduction to the python development flow that we should have specifically on `testing?`\ncc: <@U019BCGD0QY>,1.0
You have a chart cache that overwrite the table and database. Will that help? I tried to document here haw it works .\n<https://docs.preset.io/docs/understanding-chart-cache|https://docs.preset.io/docs/understanding-chart-cache>. Please provide me feedback so I can improve it. ,1.0
<@U01880WS0EA> has joined the channel,1.0
,1.0
<@U012BQ37UNT> has joined the channel,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
"Hi all :wave:, my name is Marvin, I'm a freelancer. I'm looking for tips and tutorials about Superset.",2.0
,1.0
Can someone CR this?\n<https://github.com/apache/incubator-superset/pull/10412>,1.0
,1.0
,1.0
,1.0
,1.0
,0.0
,1.0
,1.0
"When there is no data for filters, I see this on the dashboard\nIs there a way I can show filter with no values rather than this error",2.0
"Hi Everyone, I am Santhosh Bandela and have around 12 years experience in visualization space. First time I am working on open source tools, in our organization we are using Superset since one year. I am leading the team and we are building our own custom functionality as per our requirements keeping 0.35 as base version. We are waiting for our IRM team clearance to contribute back to community. Excited to explore more here in this community.",1.0
,1.0
,1.0
,1.0
,2.0
,1.0
,1.0
,1.0
,1.0
,1.0
"Hi all, I followed this guide to create a hello world plugin. <https://preset.io/blog/2020-07-02-hello-world/|https://preset.io/blog/2020-07-02-hello-world/>\n\nUnfortunately I don\u2019t see Hello world when I search for it on the list of visualizations.\n\nWhat am I missing?\n",1.0
,2.0
,1.0
,1.0
,1.0
,1.0
"Hi all :wave: my name is Jo, I'm a Product Analyst at Intercom. I'm looking for tips and tutorials about Superset",2.0
"Hi, I'm Injoong Cho, Security Engineer at Joyent. I'm looking for a data visualization platform for security incident handling. Thanks for awesome project!",1.0
,1.0
"I'm trying to get `max(date)` work using superset but can't seem to get it work either as a bit of custom SQL or in the standard drop-downs used by Superset. The column is a date datatype, so I'm guessing this is an SQL Lab issue. Any thoughts and advice would be really helpful.",1.0
,1.0
,1.0
"Has anyone been able to extend the SQLLab Query History so it shows all the history of the query, not just the session for when it's open in the browser?  I have a requirement to enable Superset to show all the hisotry of the query, to provide an audit trail.  I saw a few settings in config.py for it (i.e.: def QUERY_LOGGER), and sql_lab.py (i.e.: result_backend) but not sure how to use them.",2.0
<https://apache-superset.slack.com/archives/C7G8CG0LR/p1595842687047600>\nA windows server installation related thread from <@U0134ERAH71> for those who need this info :slightly_smiling_face: :point_down:,1.0
,1.0
By looking at the code lately I think it does matter\nCan you try it by creating a new chart to see if you get the error ? \nIf not so you probably found a  :bug:,1.0
,1.0
,1.0
,1.0
,1.0
<@UFP6V5W4E> hmm I\u2019m not quite sure I\u2019m following your question :disappointed: I\u2019ve made this quick box plot that puts global sales on the y-axis and the video-game-platform on the x-axis. This is for the box plot\n\nScreen Shot 2020-08-27 at 12.37.50 PM,1.0
"in the box plot chart, I have the feeling there's no way of aggregating in any other way than per timestamp, am I missing something ? I want so see something else than variance over time",1.0
Someone can suggest a question?,1.0
"anyone experience this before? we have probably 80 charts or so, I\u2019m wondering if CSS rules aren\u2019t being applied correctly?",1.0
<@U01880WS0EA> has joined the channel,1.0
<@U014D0Q95K5> has joined the channel,1.0
<@U019D20J9KK> has joined the channel,1.0
<@UMB4WQHC7> has joined the channel,1.0
<@U019BBS4NJX> has joined the channel,1.0
#2 strikes me as a phase 1 goal,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
"Hello Everyone, I am Lise, Director of Data Science of Engineering at Warner Bros in France. We love superset, we have been using it for almost 4 years !",1.0
,1.0
,1.0
"Hi all, I have the next question: when I am logging in my admin account and trying to open any dashboard I get ""500 - Internal Server Error""\n```""This session is in 'prepared' state; no further ""\nsqlalchemy.exc.InvalidRequestError: This session is in 'prepared' state; no further SQL can be emitted within this transaction.```\nHowever, after several page reloads, dashboards open correctly. It happens only after logging in the system and only with admin account, other users do not meet this problem. Did anyone experience the same? Any advices are very appreciated.",1.0
How to run superset so that we dont loose charts when container dies? does the mysql stores the charts?,1.0
,1.0
"Please listen to <@U014D0Q95K5> , he\u2019s making much more sense here than me! :smile:",1.0
"Ah, sorry, I thought you were pulling data _from_ Superset, not _into_ Superset!",1.0
<@UH0UPCJVD>  I need to display the data using rest API..,1.0
Hi everyone. We would love to use 3d charts in our Superset Dashboard. We currently use plotly dash to build 3d Charts in our Notebooks but we want to move those to a Superset Dashboard. Does someone know a way to do that? Or maybe is there a better solution for 3d Charts in Superset? I cant really find any 3d Charts in the Visualization gallery from <https://superset.incubator.apache.org/gallery.html>. We currently have something like the graph in the picture. Thank you :slightly_smiling_face:,2.0
"Hi everyone, Is it possible to visualize charts in superset using Python and how do we go around doing that?",1.0
,1.0
,1.0
"*CSS - Chart Colours*\nI am trying to make the background of only one particular chart custom coloured.\n\u2022 This does the job but applies it all charts  `.dashboard-component{ background: black}`\n\u2022 Is there a way in which I can use the chart ID, something like `#chart-id-149 .dashboard-component{ background: black}`\n\u2022 Would like to do the same for chart header, something like `#chart-id-149 .chart-header { display: none;}` \n",1.0
,1.0
,1.0
,2.0
*Metrics*\nIs it possible to define a function such as:\nsales_percentage =  sales / total_sales * 100\n\nsales = `select * from sales_table where date between d1 and d2`\ntotal_sales = `select * from sales_table`,2.0
,1.0
,1.0
,1.0
,1.0
,2.0
,2.0
,2.0
,2.0
,1.0
,1.0
,1.0
,1.0
,1.0
"ICYMI <!here>: we are hosting a community wide virtual meetup *next Wednesday, July 16th, 9AM America West Coast time*. The topic will be a deep dive of the new visualization plugins in Superset (check out <@UHK31ESN4>'s blog post for background :point_up_2:). Please sign up here:\n<https://share.hsforms.com/1Pa6kBA01RFqcFKpE7AwGeQ3ihtm>\n(We will send you the Zoom info next week!)",1.0
"Hi all. re Single Sign On.\n\nWe integrate superset with other opensource packages to create a composite offering, and to make that professional cx we need  ""sign on once"" auth across the various end points.\n\nI am interested to see whether there is interest making this more workable / checking we have taken the golden path wrt superset.\n\nWe have had some struggles, but seem to be mostly there - atm we are using Auth0 3rd party service which was not what we planned.\n\nWe have very limited resources but would like to contribute/help to whatever extent we are able.\n\nWho in the community would be best placed for me to converse with do you reckon ?",1.0
"Hi, I am currently setting up superset in my place. As we have an on-premise infrastructure and do not use docker, is there any interest in an all-in superset Debian package? (in parallel to the pip one, as pip at least for me does not offer all dependency management options that it should, like system-level dependencies, system services etc) :)",1.0
"Hey <@U017A55PE9E> , about your question of dynamic filters I did this <https://youtu.be/qQTGB5cJunk|small demo>, please let me know if that answer your question.",1.0
,1.0
,1.0
,1.0
Thanks guys for all the help you've given me! It's been a pleasure working with you all.,1.0
"Hi all... just wanted to make the announcement that today is <@U018KSRTZHP>\u2019s final day at Preset. We thank her for all her great work on this project thus far. *Phase 0 is functionally complete!* :rocket: She's been working behind the scenes to hand off the project to <@UPKUKSEAJ> as the Preset team's new lead on this project. It's in good hands, I assure you. We'll be adding e2e/unit tests to Phase 0 asap, and will be happy to answer any questions now or going forward. Thanks all, and thanks Natalie!",2.0
,1.0
"I have a design question. I want to run multiple instance of superset on different machines. Say I want to run 2 superset instances on 2 different machine for 2 different clients. Both of them have different dashboard, different URL(<http://client1.superset.com|client1.superset.com> / <http://client2.superset.com|client2.superset.com>), etc. Can I share the same Mysql instance among both superset, but have 2 different schema for 2 superset instance. Do you think that will work?",2.0
,1.0
,1.0
,1.0
,1.0
,2.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
"Hello Everyone, My name is Tausif Kazi. I am working as a BI Architect and learning Apache Superset.",1.0
The dashboard related client side datastructures are in need of a serious revamp. They're not optimized for how they're being used in the UI what-so-ever.,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
"No, every chart/query will check login authentication.",1.0
Please help to resolve the issue.,1.0
anybody has experienced that?\nany chance that it is fixed in 0.37 ?,2.0
<@U019E0PRWP3> has joined the channel,1.0
"I added <@U01BCJEQYJG> we had few discussions about SQL Timer bug, and he mentioned he is new to the Superset Community. This could be good resource for him and maybe there is a summary somewhere about the champions program <@U012CQL57CH>?",1.0
,1.0
<@U01BCJEQYJG> has joined the group,1.0
<https://apache-superset.slack.com/archives/C016B3LG5B4/p1601289883008000>,1.0
"Hi folks , I was exploring email reports in-order to resolve issue\n<https://github.com/apache/incubator-superset/issues/10996>.\nBut getting error on both `firefox` driver(image1) and `chrome` driver(image 2) I'm running them on docker-compose.",2.0
,1.0
"hey folks, it looks like at least 2 people are having issues getting custom plugins working on latest version of Superset (but it was working on 0.36):\n\n<https://apache-superset.slack.com/archives/CK1P3L23E/p1601068563006700>",2.0
"I don't know if this is the appropriate channel for this - but I'm currently looking at the *<http://deck.gl|deck.gl> scatterplot* chart - I haven't tried to find the code yet to dig up the answers myself, so this may be a dumb question:\nThere's a box with _Map Style_ in it.  Does anyone know where those comes from?  (ie. Is there an easy way to use custom mapbox themes?)\nThanks!",2.0
Where are the user action logs stored? is there a default path it goes to?,1.0
,1.0
"i am trying to add @superset-ui/legacy-plugin-chart-sankey-loop\n<https://www.npmjs.com/package/@superset-ui/legacy-plugin-chart-sankey-loop>\n\nDefined below in respective files\n```import\u00a0SankeyLoopChartPlugin\u00a0from\u00a0'@superset-ui/legacy-plugin-chart-sankey-loop';\n\u00a0\nnew\u00a0SankeyLoopChartPlugin()\n\u00a0\u00a0.configure({\u00a0key:\u00a0'sankey'\u00a0})\n\u00a0\u00a0.register();```\ni am successfully able to start seeing Sankey Loop in chart list, but while creating the chart i don't see various sql drop down like metrices, filter, group by etc\ncould you please suggest if i am missing something in the integration",1.0
,1.0
"Hello all.  My name is M.G. Ong, Chief Advisor of 6Biz Academy.  We train non-IT professionals on how to use Superset for their company and clients.",1.0
"Hi, I am new to Apache and have some basic questions.Can somebody help?",1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
"Hi All,\nCan you please help us attached error. we are getting this after login page.\nThank you",1.0
,1.0
":wave: everyone! This is Srini and I\u2019m a Developer Advocate at <http://Preset.io|Preset.io> (the company stewarding &amp; commercializing Superset). A lot of my short-term work involves creating many example data pipelines &amp; dashboards  so Superset\u2019s end-users can get inspiration and maybe even implement some of them. I\u2019m especially interested in creating business focused dashboards (e.g. using data from Stripe, Google Analytics, HubSpot, Salesforce, etc) that work with the most common data stores &amp; data engines (AWS Redshift, Athena, RDS, Postgres, MySQL, Dremio, Snowflake, etc).\n\nI\u2019d love to get a pulse from what types of tutorial content you\u2019d like to see. *Please comment here or DM me directly to help me understand:*\n\n\u2022 An idea for a dashboard you or someone in your organization wants to create\n\u2022 Internal or external data sources you\u2019re excited to work with\n\u2022 Data stores or data engines you want to connect Superset to \n\u2022 Your dream dashboard, independent of technical or implementation details",1.0
"I have had 0.36 installed for few months, what commands should I run to upgrade to 0.37 without losing all charts/dashboards I have created in 0.36 ?",2.0
":rocket: new tutorial post on the Preset blog: <https://preset.io/blog/2020-07-27-live-updating-covid-dashboard/>\n\nShout out to <@U89DGH27L> for his work on `ghseets-db-api` that made Google Sheets even an integration option to begin with. _If others assisted here then I apologize for not having that context, but this is super cool!_",1.0
,1.0
<@U010L66PJ6N> has joined the channel,1.0
"any inputs for a successful SuperSet integration with Celery, RabbitMQ &amp; Redis all deployed on K8s? I have been spending a lot of time and couldn\u2019t make this integration successful. I am having troubles setting up Celery &amp; RabbitMQ on K8s..",1.0
,1.0
,1.0
,1.0
,1.0
,1.0
<@U01D4UNH12A> has joined the channel,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
<@U011STV1ECR> has joined the channel,1.0
,1.0
":wave:\n\nIs it possible to persist Jinja template parameters with a saved query?\n\nAlso is it possible to expose Jinja template parameters in the edit chart or edit dashboard panels? (I think the parameters are persister here via the ""data source"")",1.0
,1.0
,1.0
"I am trying to setup celery worker for my new superset installation. I have set the database in Async query execution , but my queries keep going in pending state. Anything I am missing here?\n\nCelery start up cmd - `celery worker --app=superset.tasks.celery_app:app --pool=prefork -O fair -c 4`\n\nMy config is\n```import os\nSUPERSET_CONFIG_PATH = '/etc/superset/superset_config.py'\nRESULTS_BACKEND = 'mysql+mysqlconnector://user@default..com/superset'\n\nROW_LIMIT = 200000\nSUPERSET_WORKERS = 4\nSUPERSET_WEBSERVER_PORT = 8080\nSECRET_KEY = 'mykey'\nSQLALCHEMY_DATABASE_URI = 'mysql+mysqlconnector://user@com/superset'\nCSRF_ENABLED = True\nLANGUAGES = {""en"": {""flag"": ""us"", ""name"": ""English""} }\n\nclass CeleryConfig(object):\n    BROKER_URL = 'redis://localhost:6379/1'\n    CELERY_IMPORTS = ('superset.sql_lab', 'superset.tasks',)\n    CELERY_RESULT_BACKEND = 'redis://localhost:6379/1'\n    CELERYD_LOG_LEVEL = 'DEBUG'\n    CELERYD_PREFETCH_MULTIPLIER = 1\n    CELERY_ACKS_LATE = True\n    CELERY_ANNOTATIONS = {\n        'tasks.add': {\n            'rate_limit': '10/s'\n        },\n        'sql_lab.get_sql_results': {\n            'rate_limit': '100/s'\n        }\n    }\n    CELERY_TASK_PROTOCOL = 1\nCELERY_CONFIG = CeleryConfig\n\nfrom cachelib.redis import RedisCache\nRESULTS_BACKEND = RedisCache(\nhost='localhost', port=6379, key_prefix='superset_results')```",1.0
,1.0
"[WARNING] Error sending message to statsd\nTraceback (most recent call last):\n/site-packages/gunicorn/instrument/statsd.py"", line 127, in _sock_send\n    self.sock.send(msg)\nwhy is statsd not working",1.0
<@U012MAY95H6> has joined the channel,1.0
<@U019BBS4NJX> has joined the channel,2.0
"Hi Junlin, I'll be happy to participate to your user-interview sessions. Let me know about the organization details.",1.0
<@UHGHQM2TS> has joined the channel,1.0
<@UMB4WQHC7> has joined the channel,1.0
<@U014D0Q95K5> has joined the channel,1.0
<@U012CQL57CH> has joined the channel,2.0
<@URQJZJKKK> has joined the channel,1.0
<@UCS84JXD4> has joined the channel,1.0
let me know if you have any questions or want any other tips / guidance to start contributing to the Superset docs!,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
"Good morning to all, I am new to superset, I have version 0.36 and I am trying to upload the map of Colombia, following the steps in the manual at\u00a0<https://superset.incubator.apache.org/visualization.html#you-need-><https://superset.incubator.apache.org/visualization.html#you-need-to-add-a-new-country| to-add-a-new-country>\u00a0, but in my installation I can't find the folders or files described. Install superset according to instructions on Ubuntu 18.04. Could someone help me please. Sorry I don't speak English, I'm using a translator. Thank you.",1.0
should be,1.0
"Hi everyone, I am evaluating the API capabilities for a use case I have and have ran into a few issues that I will post separately so they can be threaded. Thanks in advance for the help",1.0
"Hello All! Quick question:\n\nwhile following this article: <https://preset.io/blog/2020-07-02-hello-world/>\nI noticed that i always get a 405 Error, not sure why. I pulled master on friday, so i have somewhat the latest and greatest.\nAny insight would be awesome!",1.0
"Heyho,\nI am unsure if the everywhere mentioned caching is really for query results?\nI have long-running queries ( 10minutes+) which are executed every time.\nThe config is definitely loaded, as I authenticate against LDAP which is set up in the config and working fine :)\nI tried different variations of the config (as the superset docs, snippets from Github issues + flask are kind of similar..bit a bit different sometimes ^^).\n\nMy current config for testing purposes includes\n```CACHE_DEFAULT_TIMEOUT = 60 * 60 * 24\nCACHE_CONFIG = {'CACHE_TYPE': 'filesystem', 'CACHE_DIR': '/tmp'}\nTABLE_NAMES_CACHE_CONFIG = {'CACHE_TYPE': 'filesystem', 'CACHE_DIR': '/tmp'}```\nBut during startup I still get the issue reported that I have no caching:\n```root@aw-superset:~# /opt/venvs/apache-superset/bin/superset run -p 8088 --with-threads --reload --debugger\nlogging was configured successfully\nINFO:superset.utils.logging_configurator:logging was configured successfully\n/opt/venvs/apache-superset/lib/python3.7/site-packages/flask_caching/__init__.py:192: UserWarning: Flask-Caching: CACHE_TYPE is set to null, caching is effectively disabled.\n  ""Flask-Caching: CACHE_TYPE is set to null, ""```\nDo I have something wrong in my cache settings?\nDo you have any working example for a filesystem cache? I wanted to get this running before I start spinning up a Redis :slightly_smiling_face:",1.0
No 1 does not inculde a User API.\nFrom what I understand both of these APIs are generated automaticallu according to the models,1.0
,1.0
not sure Superset supports Mongo,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
"I Install superset using virtual env in my windows machine. I thing I have limited access, some of features even not appiar in UI. I think get full functions of superset I have deployed superset in cloud am I correct? OR if I move in to linux VM and install superset using virtual env then can I get fully function of superset?",1.0
"Hey all ,\nAre you aware of this feature ? \nIs this something that is going to depracate?\n<https://github.com/apache/incubator-superset/pull/5547|https://github.com/apache/incubator-superset/pull/5547>",0.0
<@UPKUKSEAJ> has joined the channel,1.0
<@U014D0Q95K5> has joined the channel,1.0
"A conclusion of yesterday discussion :\nwe will start phase 0 :\n1. filter indicators new Design (<@UUW8GV604> \n2. event/state  based communication to publish *mark* events , for POC events are :`filter applied, filter reset` (<@U010L66PJ6N> &amp; <@U018KSRTZHP> \n3. re-implment/re-use existing applying filter logic based on bullet number 1 on the Q&amp;A document :point_up:  (<@U010L66PJ6N>",1.0
"Note: I owe you guys that google doc, will work on it today",1.0
<https://docs.google.com/document/d/1Y7Q-Wr-Bfc6eptAtnTYcGHVvxiYNmHRx_U6-EITfbTc/edit?usp=sharing>,1.0
"Hey everyone! We met with AirBnB today in discussion of SIP-45. Here is the summary:\n\n*Identified UX problems:*\n\u2022 When filters are not applied properly, dashboard consumers need to be alerted to the fact that they can not trust the data being presented.\n\u2022 When filters are not applied properly, dashboard creators need to know a chart is incompatible so they can remove it from the filter scope.\n\u2022 Filter scopes are often over-applied because Dashboard creators currently find it a hassle to apply filter scopes\n*Technical Considerations:*\n\u2022 SIP-45 option #1 has possible performance concerns with checking filter eligibility up front.\n*Action Item(s):*\n\u2022 Preset design team will propose an alternative design for strategy #2 from SIP-45\n\u2022 AirBnB to investigate performance of validating filter eligibility (how long for many filters / complex data)\nLet me know if I should add anything.",1.0
"Hi. I have some questions about the APIs available in superset. I have found 2 separate sets of APIs.\nExample:\n1: <https://mydomain/swagger/v1/>...\n2: <https://mydomain/users/api/read>\n\nFor 1. I have documentation here: <https://flask-appbuilder.readthedocs.io/en/latest/rest_api.html>\nI can authenticate against the api, get a JWT and I do not need to manage cookies.\nFor 2. I have no documantaion just this post: <https://github.com/apache/incubator-superset/issues/2476>",1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
"Hi everyone, I'm Nick, VP of Analytics at Thinking Machines (<https://thinkingmachin.es/>), a data science consultancy based in Singapore/Manila that deploys AI/data platforms for enterprises in the region. I was an early user of Superset when I was a data scientist at Airbnb and excited to join this group! We often get asked about best viz tools and ofc top of mind for most folks is PowerBI, Tableau, Looker, etc. -- I'd like to add Superset to the convo after experiencing 'analytics at the speed of thought' in the past! :heart:",1.0
"Hi, does anyone know how to assume an IAM role in the SQLAlchemy URI for an AWS Athena connection?",2.0
<@U010L66PJ6N> has joined the channel,1.0
,1.0
,1.0
Does superset Make use of these?,1.0
<@U01880WS0EA> has joined the channel,1.0
